======= Coverage for C:\Users\gianc\Desktop\SCRIPT\ISAB_TimeSheet\src\ ========
----------------------------------- Summary -----------------------------------
| Name                                                           | Total | Miss | Cover | Cover% |
| core\importers\attivita.py                                     |     2 |    0 |     2 |   100% |
| core\importers\base.py                                         |     1 |    0 |     1 |   100% |
| core\importers\certificati.py                                  |     2 |    0 |     2 |   100% |
| core\importers\contabilita.py                                  |     3 |    0 |     3 |   100% |
| core\importers\giornaliere.py                                  |     3 |    0 |     3 |   100% |
| core\importers\scarico_ore.py                                  |     3 |    2 |     1 |    33% |
| core\importers\storico_oda.py                                  |     2 |    0 |     2 |   100% |
| core\telegram\service.py                                       |     6 |    2 |     4 |    67% |
| core\telegram\handlers\callbacks.py                            |     1 |    0 |     1 |   100% |
| core\telegram\handlers\commands.py                             |     3 |    3 |     0 |     0% |
| core\telegram\handlers\messages.py                             |     5 |    5 |     0 |     0% |
| core\telegram\ui\keyboards.py                                  |    23 |   22 |     1 |     4% |
| gui\accessibility.py                                           |     4 |    1 |     3 |    75% |
| gui\formatters.py                                              |    13 |    6 |     7 |    54% |
| gui\styles.py                                                  |     3 |    1 |     2 |    67% |
| gui\toast.py                                                   |     3 |    0 |     3 |   100% |
| gui\components\scarico_ore\cache.py                            |     2 |    0 |     2 |   100% |
| gui\components\scarico_ore\model.py                            |    12 |   11 |     1 |     8% |
| gui\components\scarico_ore\filters\header.py                   |     2 |    1 |     1 |    50% |
| gui\components\scarico_ore\filters\popup_date.py               |     5 |    4 |     1 |    20% |
| gui\components\scarico_ore\filters\popup_list.py               |     5 |    4 |     1 |    20% |
| gui\controllers\bot_controller.py                              |     2 |    0 |     2 |   100% |
| gui\controllers\command_registry.py                            |     6 |    3 |     3 |    50% |
| gui\controllers\navigation_controller.py                       |     8 |    0 |     8 |   100% |
| gui\controllers\search_controller.py                           |     2 |    0 |     2 |   100% |
| gui\controllers\service_controller.py                          |     2 |    0 |     2 |   100% |
| gui\controllers\tray_controller.py                             |     2 |    0 |     2 |   100% |
| gui\design\colors.py                                           |     2 |    0 |     2 |   100% |
| gui\design\spacing.py                                          |     3 |    0 |     3 |   100% |
| gui\design\typography.py                                       |     2 |    0 |     2 |   100% |
| gui\dialogs\account_dialog.py                                  |     2 |    1 |     1 |    50% |
| gui\dialogs\command_palette.py                                 |     4 |    2 |     2 |    50% |
| gui\dialogs\confirmation_dialog.py                             |     1 |    0 |     1 |   100% |
| gui\dialogs\quick_actions_config.py                            |     3 |    0 |     3 |   100% |
| gui\layouts\responsive.py                                      |     3 |    0 |     3 |   100% |
| gui\main_window\main.py                                        |     6 |    2 |     4 |    67% |
| gui\main_window\page_index.py                                  |     1 |    0 |     1 |   100% |
| gui\main_window\components\menu_bar.py                         |     2 |    1 |     1 |    50% |
| gui\main_window\components\status_bar.py                       |     6 |    2 |     4 |    67% |
| gui\main_window\components\tool_bar.py                         |     3 |    1 |     2 |    67% |
| gui\main_window\components\tray_icon.py                        |     3 |    1 |     2 |    67% |
| gui\main_window\controllers\app_event_handler.py               |     5 |    1 |     4 |    80% |
| gui\main_window\controllers\signal_connector.py                |     3 |    1 |     2 |    67% |
| gui\models\audit_model.py                                      |     7 |    6 |     1 |    14% |
| gui\panels\base.py                                             |    12 |    0 |    12 |   100% |
| gui\panels\carico_ts.py                                        |     2 |    0 |     2 |   100% |
| gui\panels\contabilita_kpi_panel.py                            |     2 |    1 |     1 |    50% |
| gui\panels\contabilita_panel.py                                |     4 |    1 |     3 |    75% |
| gui\panels\dashboard_panel.py                                  |     3 |    0 |     3 |   100% |
| gui\panels\dettagli_oda.py                                     |     3 |    0 |     3 |   100% |
| gui\panels\help_panel.py                                       |     2 |    1 |     1 |    50% |
| gui\panels\lyra_panel.py                                       |     9 |    0 |     9 |   100% |
| gui\panels\notifications_panel.py                              |     6 |    1 |     5 |    83% |
| gui\panels\pdl_db.py                                           |     4 |    1 |     3 |    75% |
| gui\panels\prenota_bp.py                                       |     1 |    0 |     1 |   100% |
| gui\panels\ricerca_pdl.py                                      |     3 |    1 |     2 |    67% |
| gui\panels\scarico_ore_panel.py                                |     6 |    1 |     5 |    83% |
| gui\panels\scarico_pdl.py                                      |     3 |    0 |     3 |   100% |
| gui\panels\scarico_ts.py                                       |     4 |    0 |     4 |   100% |
| gui\panels\storico_oda_panel.py                                |     4 |    1 |     3 |    75% |
| gui\panels\timbrature_bot.py                                   |     3 |    0 |     3 |   100% |
| gui\panels\dipendenti\main_panel.py                            |     2 |    0 |     2 |   100% |
| gui\panels\dipendenti\shared.py                                |     9 |    4 |     5 |    56% |
| gui\panels\dipendenti\pages\anagrafica_page.py                 |     2 |    1 |     1 |    50% |
| gui\panels\settings\main_panel.py                              |     4 |    2 |     2 |    50% |
| gui\panels\settings\shared.py                                  |     5 |    0 |     5 |   100% |
| gui\panels\settings\pages\diag_page.py                         |     3 |    2 |     1 |    33% |
| gui\panels\settings\pages\general_page.py                      |     3 |    0 |     3 |   100% |
| gui\panels\settings\pages\lists_page.py                        |     3 |    2 |     1 |    33% |
| gui\panels\settings\pages\paths_page.py                        |     3 |    2 |     1 |    33% |
| gui\panels\settings\tabs\backup_tab.py                         |     2 |    1 |     1 |    50% |
| gui\panels\settings\tabs\config_tab.py                         |     3 |    2 |     1 |    33% |
| gui\panels\settings\tabs\telegram_tab.py                       |     3 |    2 |     1 |    33% |
| gui\panels\timbrature\panel.py                                 |     3 |    1 |     2 |    67% |
| gui\panels\timbrature\components\detail_view.py                |     3 |    0 |     3 |   100% |
| gui\panels\timbrature\components\settings_tab.py               |     2 |    0 |     2 |   100% |
| gui\widgets\activity_feed.py                                   |     4 |    0 |     4 |   100% |
| gui\widgets\automazioni_widget.py                              |     2 |    0 |     2 |   100% |
| gui\widgets\autopilot_widget.py                                |     5 |    0 |     5 |   100% |
| gui\widgets\bot_parameters.py                                  |     9 |    0 |     9 |   100% |
| gui\widgets\calendar_date_edit.py                              |     1 |    0 |     1 |   100% |
| gui\widgets\data_table.py                                      |     5 |    0 |     5 |   100% |
| gui\widgets\excel_table.py                                     |    11 |    0 |    11 |   100% |
| gui\widgets\footer_stats.py                                    |    32 |   12 |    20 |    62% |
| gui\widgets\info_widgets.py                                    |     5 |    2 |     3 |    60% |
| gui\widgets\modern_button.py                                   |     7 |    0 |     7 |   100% |
| gui\widgets\notification_card.py                               |     4 |    0 |     4 |   100% |
| gui\widgets\notification_group_header.py                       |     5 |    0 |     5 |   100% |
| gui\widgets\notification_item.py                               |     2 |    0 |     2 |   100% |
| gui\widgets\notification_toolbar.py                            |     7 |    0 |     7 |   100% |
| gui\widgets\priority_badge.py                                  |     3 |    0 |     3 |   100% |
| gui\widgets\quick_actions.py                                   |     3 |    0 |     3 |   100% |
| gui\widgets\security_dashboard.py                              |     2 |    1 |     1 |    50% |
| gui\widgets\sidebar_button.py                                  |     3 |    0 |     3 |   100% |
| gui\widgets\sidebar_widget.py                                  |    10 |    3 |     7 |    70% |
| gui\widgets\simple_chart.py                                    |     4 |    2 |     2 |    50% |
| gui\widgets\sortable_table_item.py                             |     1 |    0 |     1 |   100% |
| gui\widgets\statistics_widget.py                               |     2 |    0 |     2 |   100% |
| gui\widgets\status_card.py                                     |     4 |    0 |     4 |   100% |
| gui\widgets\status_indicator.py                                |     3 |    0 |     3 |   100% |
| gui\widgets\timeline_widget.py                                 |    13 |   11 |     2 |    15% |
| gui\widgets\toast.py                                           |    12 |    4 |     8 |    67% |
| gui\widgets\update_banner.py                                   |     2 |    0 |     2 |   100% |
| gui\widgets\contabilita\attivita_tab.py                        |     4 |    3 |     1 |    25% |
| gui\widgets\contabilita\certificati_tab.py                     |     3 |    0 |     3 |   100% |
| gui\widgets\contabilita\giornaliere_tab.py                     |     3 |    0 |     3 |   100% |
| gui\widgets\contabilita\helpers.py                             |     1 |    0 |     1 |   100% |
| gui\widgets\contabilita\year_tab.py                            |     3 |    0 |     3 |   100% |
| gui\workers\connection_worker.py                               |     2 |    1 |     1 |    50% |
| utils\document_generator.py                                    |     1 |    0 |     1 |   100% |
| utils\document_processor.py                                    |     5 |    0 |     5 |   100% |
| utils\helpers.py                                               |    12 |    0 |    12 |   100% |
| utils\log_humanizer.py                                         |     3 |    0 |     3 |   100% |
| utils\parsing.py                                               |     1 |    0 |     1 |   100% |
| utils\printing.py                                              |     2 |    0 |     2 |   100% |
| utils\resource_manager.py                                      |     5 |    0 |     5 |   100% |
| utils\secure_logger.py                                         |     3 |    1 |     2 |    67% |
| utils\security.py                                              |     3 |    0 |     3 |   100% |
| utils\validators.py                                            |     7 |    1 |     6 |    86% |
|----------------------------------------------------------------|-------|------|-------|--------|
| TOTAL                                                          |   793 |  173 |   620 |  78.2% |
--------------- RESULT: FAILED (minimum: 85.0%, actual: 78.2%) ----------------
